transaction_date,brand_name,outlet_name,no_of_ads,ad_spend,clicks,impressions,reach,year_month
2020-01-01,Pizzeria,Pizzeria - Central,4,92.53999999999999,154.0,20975.0,18336.0,2020-01
2020-01-01,The Beach,The Beach,1,1.1,6.0,162.0,162.0,2020-01
2020-01-02,Louvré,Louvré,1,2.69,16.0,344.0,337.0,2020-01
2020-01-02,Pizzeria,Pizzeria - Central,4,92.99000000000001,160.0,22626.0,20375.0,2020-01
2020-01-03,Louvré,Louvré,1,4.94,38.0,955.0,927.0,2020-01
2020-01-03,Pizzeria,Pizzeria - Central,4,94.47,147.0,23366.0,20726.0,2020-01
2020-01-04,Louvré,Louvré,1,4.97,26.0,1190.0,1165.0,2020-01
2020-01-04,Pizzeria,Pizzeria - Central,4,76.94,104.0,15969.0,14417.0,2020-01
2020-01-05,Louvré,Louvré,1,5.11,13.0,1041.0,1018.0,2020-01
2020-01-05,Pizzeria,Pizzeria - Central,4,48.13,66.0,9897.0,8886.0,2020-01
2020-01-05,The Brunch Place,The Brunch Place - Central,2,7.65,32.0,893.0,844.0,2020-01
2020-01-06,Louvré,Louvré,2,8.42,25.0,1742.0,1611.0,2020-01
2020-01-06,Pizzeria,Pizzeria - Central,4,50.66,67.0,10574.0,9576.0,2020-01
2020-01-06,The Brunch Place,The Brunch Place - Central,2,18.27,83.0,2230.0,1977.0,2020-01
2020-01-07,Louvré,Louvré,2,5.22,21.0,1061.0,923.0,2020-01
2020-01-07,Pizzeria,Pizzeria - Central,4,48.82,101.0,11616.0,10479.0,2020-01
2020-01-07,The Brunch Place,The Brunch Place - Central,2,18.65,91.0,2273.0,1997.0,2020-01
2020-01-08,Louvré,Louvré,1,3.38,5.0,577.0,451.0,2020-01
2020-01-08,Pizzeria,Pizzeria - Central,4,49.94,77.0,11550.0,10434.0,2020-01
2020-01-08,The Brunch Place,The Brunch Place - Central,2,17.900000000000002,106.0,2486.0,2328.0,2020-01
2020-01-09,Louvré,Louvré,1,3.14,12.0,460.0,353.0,2020-01
2020-01-09,Pizzeria,Pizzeria - Central,4,47.22,65.0,8208.0,7407.0,2020-01
2020-01-09,The Brunch Place,The Brunch Place - Central,2,15.98,95.0,2366.0,2217.0,2020-01
2020-01-10,Louvré,Louvré,1,3.34,1.0,442.0,352.0,2020-01
2020-01-10,Pizzeria,Pizzeria - Central,4,50.629999999999995,88.0,9862.0,9120.0,2020-01
2020-01-10,The Brunch Place,The Brunch Place - Central,3,28.71,143.0,3061.0,2729.0,2020-01
2020-01-11,Louvré,Louvré,1,3.24,5.0,373.0,280.0,2020-01
2020-01-11,Pizzeria,Pizzeria - Central,4,50.95,113.0,10550.0,9701.0,2020-01
2020-01-11,The Brunch Place,The Brunch Place - Central,3,30.19,183.0,3750.0,3316.0,2020-01
2020-01-12,Louvré,Louvré,1,3.51,9.0,501.0,369.0,2020-01
2020-01-12,Pizzeria,Pizzeria - Central,4,50.480000000000004,107.0,10845.0,9972.0,2020-01
2020-01-12,The Brunch Place,The Brunch Place - Central,3,21.630000000000003,80.0,3334.0,3155.0,2020-01
2020-01-13,Louvré,Louvré,1,3.68,11.0,589.0,473.0,2020-01
2020-01-13,Pizzeria,Pizzeria - Central,4,51.39,100.0,9972.0,9106.0,2020-01
2020-01-13,The Brunch Place,The Brunch Place - Central,2,18.85,106.0,3343.0,3139.0,2020-01
2020-01-14,Louvré,Louvré,1,3.48,7.0,781.0,691.0,2020-01
2020-01-14,Pizzeria,Pizzeria - Central,4,51.22,128.0,10451.0,9584.0,2020-01
2020-01-14,The Brunch Place,The Brunch Place - Central,2,19.580000000000002,78.0,3790.0,3596.0,2020-01
2020-01-15,Louvré,Louvré,1,3.41,16.0,839.0,744.0,2020-01
2020-01-15,Pizzeria,Pizzeria - Central,4,44.08,93.0,9155.0,8301.0,2020-01
2020-01-15,The Brunch Place,The Brunch Place - Central,2,19.65,102.0,3689.0,3516.0,2020-01
2020-01-16,Louvré,Louvré,2,2.69,18.0,810.0,774.0,2020-01
2020-01-16,Pizzeria,Pizzeria - Central,4,39.2,83.0,8839.0,7947.0,2020-01
2020-01-16,The Brunch Place,The Brunch Place - Central,2,12.94,59.0,2171.0,2099.0,2020-01
2020-01-17,Louvré,Louvré,1,3.43,19.0,1339.0,1214.0,2020-01
2020-01-17,Pizzeria,Pizzeria - Central,4,39.85,69.0,8801.0,7918.0,2020-01
2020-01-18,Louvré,Louvré,1,3.55,12.0,1027.0,908.0,2020-01
2020-01-18,Pizzeria,Pizzeria - Central,4,38.94,68.0,7760.0,6993.0,2020-01
2020-01-19,Louvré,Louvré,1,3.46,17.0,863.0,745.0,2020-01
2020-01-19,Pizzeria,Pizzeria - Central,6,34.58,48.0,7232.0,6668.0,2020-01
2020-01-19,The Brunch Place,The Brunch Place - Central,2,8.53,21.0,2249.0,2075.0,2020-01
2020-01-20,Louvré,Louvré,1,3.41,10.0,1118.0,1007.0,2020-01
2020-01-20,Pizzeria,Pizzeria - Central,6,36.53,71.0,10332.0,9796.0,2020-01
2020-01-20,The Brunch Place,The Brunch Place - Central,2,19.33,50.0,6115.0,5643.0,2020-01
2020-01-21,Louvré,Louvré,1,3.72,31.0,2058.0,1911.0,2020-01
2020-01-21,Pizzeria,Pizzeria - Central,8,57.25999999999999,143.0,16862.0,15971.0,2020-01
2020-01-21,The Brunch Place,The Brunch Place - Central,2,19.919999999999998,45.0,5494.0,4803.0,2020-01
2020-01-22,Louvré,Louvré,1,3.31,26.0,1164.0,1034.0,2020-01
2020-01-22,Pizzeria,Pizzeria - Central,6,32.27,53.0,8304.0,7636.0,2020-01
2020-01-22,The Beach,The Beach,1,1.06,1.0,174.0,155.0,2020-01
2020-01-22,The Brunch Place,The Brunch Place - Central,2,19.25,41.0,4897.0,4209.0,2020-01
2020-01-23,Louvré,Louvré,1,3.36,18.0,1095.0,971.0,2020-01
2020-01-23,Pizzeria,Pizzeria - Central,7,34.88,106.0,12538.0,10450.0,2020-01
2020-01-23,The Beach,The Beach,1,4.86,4.0,613.0,405.0,2020-01
2020-01-23,The Brunch Place,The Brunch Place - Central,2,20.5,49.0,6613.0,5975.0,2020-01
2020-01-24,Louvré,Louvré,1,3.5,9.0,829.0,727.0,2020-01
2020-01-24,Pizzeria,Pizzeria - Central,7,37.67,96.0,12149.0,10395.0,2020-01
2020-01-24,The Beach,The Beach,1,5.3,4.0,611.0,422.0,2020-01
2020-01-24,The Brunch Place,The Brunch Place - Central,2,19.21,38.0,5296.0,4780.0,2020-01
2020-01-25,Louvré,Louvré,1,3.78,12.0,856.0,754.0,2020-01
2020-01-25,Pizzeria,Pizzeria - Central,7,55.89,103.0,18289.0,15621.0,2020-01
2020-01-25,The Beach,The Beach,1,4.73,11.0,560.0,392.0,2020-01
2020-01-25,The Brunch Place,The Brunch Place - Central,2,20.439999999999998,37.0,4225.0,3727.0,2020-01
2020-01-26,Louvré,Louvré,1,2.26,10.0,462.0,410.0,2020-01
2020-01-26,Pizzeria,Pizzeria - Central,7,58.58,119.0,18530.0,14695.0,2020-01
2020-01-26,The Beach,The Beach,1,4.97,10.0,699.0,489.0,2020-01
2020-01-26,The Brunch Place,The Brunch Place - Central,2,20.14,20.0,3657.0,3122.0,2020-01
2020-01-27,Pizzeria,Pizzeria - Central,7,61.59,92.0,14348.0,12486.0,2020-01
2020-01-27,The Beach,The Beach,1,4.08,5.0,698.0,561.0,2020-01
2020-01-27,The Brunch Place,The Brunch Place - Central,2,20.450000000000003,32.0,4422.0,3804.0,2020-01
2020-01-28,Pizzeria,Pizzeria - Central,7,59.31,125.0,18853.0,16339.0,2020-01
2020-01-28,The Brunch Place,The Brunch Place - Central,2,20.11,24.0,6354.0,5722.0,2020-01
2020-01-29,Louvré,Louvré,2,6.66,45.0,1131.0,1105.0,2020-01
2020-01-29,Pizzeria,Pizzeria - Central,7,61.370000000000005,118.0,20312.0,16327.0,2020-01
2020-01-29,The Brunch Place,The Brunch Place - Central,2,20.46,40.0,5197.0,4521.0,2020-01
2020-01-30,Louvré,Louvré,3,20.34,98.0,2852.0,2590.0,2020-01
2020-01-30,Pizzeria,Pizzeria - Central,7,78.4,143.0,17882.0,15358.0,2020-01
2020-01-30,The Brunch Place,The Brunch Place - Central,3,25.3,85.0,5830.0,5244.0,2020-01
2020-01-31,Louvré,Louvré,3,16.28,75.0,2607.0,2444.0,2020-01
2020-01-31,Pizzeria,Pizzeria - Central,7,88.09,157.0,19948.0,17093.0,2020-01
2020-01-31,The Brunch Place,The Brunch Place - Central,3,20.93,55.0,5142.0,4525.0,2020-01
2020-02-01,Louvré,Louvré,3,13.990000000000002,52.0,2725.0,2522.0,2020-02
2020-02-01,Pizzeria,Pizzeria - Central,5,62.68,125.0,17479.0,15170.0,2020-02
2020-02-01,The Brunch Place,The Brunch Place - Central,3,20.33,91.0,6412.0,5758.0,2020-02
2020-02-02,Louvré,Louvré,3,13.91,75.0,2801.0,2636.0,2020-02
2020-02-02,Pizzeria,Pizzeria - Central,5,59.900000000000006,94.0,13079.0,11745.0,2020-02
2020-02-02,The Brunch Place,The Brunch Place - Central,3,33.84,116.0,11275.0,10591.0,2020-02
2020-02-03,Louvré,Louvré,3,10.57,51.0,1812.0,1666.0,2020-02
2020-02-03,Pizzeria,Pizzeria - Central,5,62.24,118.0,12725.0,11446.0,2020-02
2020-02-03,The Brunch Place,The Brunch Place - Central,2,29.25,92.0,6871.0,6533.0,2020-02
2020-02-04,Louvré,Louvré,2,8.5,64.0,2347.0,2134.0,2020-02
2020-02-04,Pizzeria,Pizzeria - Central,5,52.25,109.0,13237.0,12107.0,2020-02
2020-02-04,The Brunch Place,The Brunch Place - Central,2,30.479999999999997,75.0,6618.0,6272.0,2020-02
2020-02-05,Louvré,Louvré,2,8.07,46.0,2385.0,2161.0,2020-02
2020-02-05,Pizzeria,Pizzeria - Central,5,42.3,114.0,12084.0,11347.0,2020-02
2020-02-05,The Brunch Place,The Brunch Place - Central,3,26.31,112.0,7993.0,7404.0,2020-02
2020-02-06,Louvré,Louvré,2,8.52,49.0,2415.0,2252.0,2020-02
2020-02-06,Pizzeria,Pizzeria - Central,5,43.22,104.0,13358.0,12506.0,2020-02
2020-02-06,The Brunch Place,The Brunch Place - Central,3,34.71,119.0,9664.0,8526.0,2020-02
2020-02-07,Louvré,Louvré,2,7.0600000000000005,38.0,1562.0,1419.0,2020-02
2020-02-07,Pizzeria,Pizzeria - Central,5,44.75,78.0,10524.0,9813.0,2020-02
2020-02-07,The Brunch Place,The Brunch Place - Central,3,38.82,115.0,8444.0,7381.0,2020-02
2020-02-08,Louvré,Louvré,1,4.68,19.0,893.0,754.0,2020-02
2020-02-08,Pizzeria,Pizzeria - Central,5,45.77,96.0,10571.0,9800.0,2020-02
2020-02-08,The Brunch Place,The Brunch Place - Central,4,47.98,153.0,10648.0,9648.0,2020-02
2020-02-09,Louvré,Louvré,1,4.96,17.0,811.0,705.0,2020-02
2020-02-09,Pizzeria,Pizzeria - Central,5,45.339999999999996,75.0,10794.0,10038.0,2020-02
2020-02-09,The Brunch Place,The Brunch Place - Central,3,26.16,88.0,5659.0,5150.0,2020-02
2020-02-10,Louvré,Louvré,1,1.46,9.0,173.0,166.0,2020-02
2020-02-10,Pizzeria,Pizzeria - Central,5,45.93,74.0,10525.0,9947.0,2020-02
2020-02-10,The Brunch Place,The Brunch Place - Central,1,15.35,52.0,3744.0,3548.0,2020-02
2020-02-11,Pizzeria,Pizzeria - Central,5,45.64,97.0,11809.0,11110.0,2020-02
2020-02-11,The Brunch Place,The Brunch Place - Central,1,1.69,5.0,515.0,511.0,2020-02
2020-02-12,Pizzeria,Pizzeria - Central,5,44.730000000000004,109.0,12059.0,11230.0,2020-02
2020-02-12,The Beach,The Beach,1,2.56,59.0,477.0,432.0,2020-02
