transaction_date,brand_name,outlet_name,year_month,is_weekend,total_orders,total_completed_orders,total_sales,total_promo_orders,total_promo_sales,total_non_promo_orders,total_non_promo_sales,platform_promo_spend,1.Morning_promo_spend,2.Afternoon_promo_spend,3.Evening_promo_spend,4.Late night_promo_spend,Platform A_spend,Platform B_spend,Platform C_spend,no_of_ads,ad_spend,clicks,impressions,reach,cost_per_click
2020-01-01,Pizzeria,Pizzeria - Central,2020-01,False,2.0,2.0,90.94999999999999,0.0,0.0,2.0,90.94999999999999,0.0,,0.0,0.0,,0.0,,,4.0,92.53999999999999,154.0,20975.0,18336.0,0.6009090909090908
2020-01-02,Pizzeria,Pizzeria - Central,2020-01,False,4.0,4.0,138.03,0.0,0.0,4.0,138.03,0.0,0.0,,0.0,,0.0,,,4.0,92.99000000000001,160.0,22626.0,20375.0,0.5811875000000001
2020-01-03,Pizzeria,Pizzeria - Central,2020-01,False,6.0,6.0,228.98000000000002,0.0,0.0,6.0,228.98000000000002,0.0,,0.0,0.0,,0.0,0.0,,4.0,94.47,147.0,23366.0,20726.0,0.6426530612244898
2020-01-04,Pizzeria,Pizzeria - Central,2020-01,True,8.0,8.0,311.3,0.0,0.0,8.0,311.3,0.0,0.0,0.0,0.0,,0.0,0.0,,4.0,76.94,104.0,15969.0,14417.0,0.7398076923076923
2020-01-05,Pizzeria,Pizzeria - Central,2020-01,True,14.0,14.0,728.5500000000001,0.0,0.0,14.0,728.5500000000001,0.0,,0.0,0.0,,0.0,0.0,,4.0,48.13,66.0,9897.0,8886.0,0.7292424242424242
2020-01-06,Pizzeria,Pizzeria - Central,2020-01,False,3.0,3.0,123.04999999999998,0.0,0.0,3.0,123.04999999999998,0.0,0.0,0.0,0.0,,0.0,,,4.0,50.66,67.0,10574.0,9576.0,0.7561194029850746
2020-01-07,Pizzeria,Pizzeria - Central,2020-01,False,7.0,7.0,318.32,0.0,0.0,7.0,318.32,0.0,,0.0,0.0,,0.0,,,4.0,48.82,101.0,11616.0,10479.0,0.48336633663366335
2020-01-08,Pizzeria,Pizzeria - Central,2020-01,False,6.0,6.0,226.77,0.0,0.0,6.0,226.77,0.0,0.0,0.0,0.0,,0.0,,,4.0,49.94,77.0,11550.0,10434.0,0.6485714285714286
2020-01-09,Pizzeria,Pizzeria - Central,2020-01,False,3.0,3.0,170.13,0.0,0.0,3.0,170.13,0.0,,0.0,0.0,,0.0,0.0,,4.0,47.22,65.0,8208.0,7407.0,0.7264615384615385
2020-01-10,Pizzeria,Pizzeria - Central,2020-01,False,2.0,2.0,68.47999999999999,0.0,0.0,2.0,68.47999999999999,0.0,0.0,,,,0.0,,,4.0,50.629999999999995,88.0,9862.0,9120.0,0.5753409090909091
2020-01-11,Pizzeria,Pizzeria - Central,2020-01,True,5.0,5.0,208.07999999999998,0.0,0.0,5.0,208.07999999999998,0.0,0.0,0.0,,,0.0,,,4.0,50.95,113.0,10550.0,9701.0,0.45088495575221244
2020-01-12,Pizzeria,Pizzeria - Central,2020-01,True,19.0,18.0,979.47,1.0,64.2,17.0,915.27,9.0,0.0,1.8,0.0,,0.0,2.25,,4.0,50.480000000000004,107.0,10845.0,9972.0,0.4717757009345795
2020-01-13,Pizzeria,Pizzeria - Central,2020-01,False,6.0,6.0,263.72,0.0,0.0,6.0,263.72,0.0,,0.0,0.0,,0.0,0.0,,4.0,51.39,100.0,9972.0,9106.0,0.5139
2020-01-14,Pizzeria,Pizzeria - Central,2020-01,False,11.0,10.0,388.27000000000004,0.0,0.0,10.0,388.27000000000004,0.0,0.0,0.0,0.0,,0.0,,,4.0,51.22,128.0,10451.0,9584.0,0.40015625
2020-01-15,Pizzeria,Pizzeria - Central,2020-01,False,2.0,2.0,62.06,0.0,0.0,2.0,62.06,0.0,,0.0,0.0,,0.0,,,4.0,44.08,93.0,9155.0,8301.0,0.4739784946236559
2020-01-16,Pizzeria,Pizzeria - Central,2020-01,False,2.0,2.0,136.42,0.0,0.0,2.0,136.42,0.0,,,0.0,,0.0,0.0,,4.0,39.2,83.0,8839.0,7947.0,0.47228915662650606
2020-01-17,Pizzeria,Pizzeria - Central,2020-01,False,4.0,4.0,213.43,0.0,0.0,4.0,213.43,0.0,0.0,0.0,,,0.0,,,4.0,39.85,69.0,8801.0,7918.0,0.577536231884058
2020-01-18,Pizzeria,Pizzeria - Central,2020-01,True,3.0,3.0,129.47,0.0,0.0,3.0,129.47,0.0,,0.0,,,0.0,,,4.0,38.94,68.0,7760.0,6993.0,0.5726470588235294
2020-01-19,Pizzeria,Pizzeria - Central,2020-01,True,5.0,5.0,356.28999999999996,0.0,0.0,5.0,356.28999999999996,0.0,0.0,0.0,0.0,,0.0,0.0,,6.0,34.58,48.0,7232.0,6668.0,0.7204166666666666
2020-01-20,Pizzeria,Pizzeria - Central,2020-01,False,7.0,7.0,411.38,0.0,0.0,7.0,411.38,0.0,,0.0,0.0,,0.0,,,6.0,36.53,71.0,10332.0,9796.0,0.5145070422535212
2020-01-21,Pizzeria,Pizzeria - Central,2020-01,False,5.0,5.0,255.73000000000002,0.0,0.0,5.0,255.73000000000002,0.0,,0.0,0.0,,0.0,0.0,,8.0,57.25999999999999,143.0,16862.0,15971.0,0.40041958041958037
2020-01-22,Pizzeria,Pizzeria - Central,2020-01,False,3.0,3.0,129.97000000000003,0.0,0.0,3.0,129.97000000000003,0.0,0.0,0.0,,,0.0,,,6.0,32.27,53.0,8304.0,7636.0,0.608867924528302
2020-01-23,Pizzeria,Pizzeria - Central,2020-01,False,7.0,7.0,256.23,0.0,0.0,7.0,256.23,0.0,0.0,0.0,0.0,,0.0,,,7.0,34.88,106.0,12538.0,10450.0,0.3290566037735849
2020-01-24,Pizzeria,Pizzeria - Central,2020-01,False,6.0,6.0,226.26999999999998,0.0,0.0,6.0,226.26999999999998,0.0,0.0,0.0,0.0,,0.0,,,7.0,37.67,96.0,12149.0,10395.0,0.39239583333333333
2020-01-25,Pizzeria,Pizzeria - Central,2020-01,True,12.0,12.0,498.06999999999994,0.0,0.0,12.0,498.06999999999994,0.0,0.0,0.0,0.0,,0.0,0.0,,7.0,55.89,103.0,18289.0,15621.0,0.542621359223301
2020-01-26,Pizzeria,Pizzeria - Central,2020-01,True,11.0,11.0,607.69,0.0,0.0,11.0,607.69,0.0,0.0,0.0,0.0,,0.0,0.0,,7.0,58.58,119.0,18530.0,14695.0,0.4922689075630252
2020-01-27,Pizzeria,Pizzeria - Central,2020-01,False,3.0,3.0,149.8,0.0,0.0,3.0,149.8,0.0,0.0,0.0,,,0.0,,,7.0,61.59,92.0,14348.0,12486.0,0.6694565217391305
2020-01-28,Pizzeria,Pizzeria - Central,2020-01,False,4.0,4.0,132.61,1.0,22.47,3.0,110.14,3.15,,0.0,1.575,,0.0,3.15,,7.0,59.31,125.0,18853.0,16339.0,0.47448
2020-01-29,Pizzeria,Pizzeria - Central,2020-01,False,5.0,5.0,197.41,1.0,26.75,4.0,170.66,3.75,0.0,1.875,0.0,,0.0,3.75,,7.0,61.370000000000005,118.0,20312.0,16327.0,0.5200847457627119
2020-01-30,Pizzeria,Pizzeria - Central,2020-01,False,8.0,8.0,466.98,0.0,0.0,8.0,466.98,0.0,0.0,0.0,0.0,,0.0,,,7.0,78.4,143.0,17882.0,15358.0,0.5482517482517483
2020-01-31,Pizzeria,Pizzeria - Central,2020-01,False,5.0,5.0,235.93,0.0,0.0,5.0,235.93,0.0,,0.0,0.0,,0.0,0.0,,7.0,88.09,157.0,19948.0,17093.0,0.5610828025477708
2020-02-01,Pizzeria,Pizzeria - Central,2020-02,True,7.0,7.0,460.09000000000003,1.0,147.66,6.0,312.43,41.4,0.0,13.799999999999999,0.0,,0.0,20.7,,5.0,62.68,125.0,17479.0,15170.0,0.50144
2020-02-02,Pizzeria,Pizzeria - Central,2020-02,True,10.0,10.0,468.65999999999997,1.0,73.83,9.0,394.83,20.7,0.0,6.8999999999999995,0.0,,0.0,6.8999999999999995,,5.0,59.900000000000006,94.0,13079.0,11745.0,0.6372340425531916
