brand_name,channel,time_of_day,order_type,is_weekend,total_promo_orders,total_promo_sales,total_non_promo_orders,total_non_promo_sales
Club Street,Platform A,1.Morning,DELIVERY,0,0.0,0.0,0.0,0.0
Club Street,Platform A,1.Morning,DELIVERY,1,0.0,0.0,0.0,0.0
Club Street,Platform A,1.Morning,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform A,1.Morning,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform A,2.Afternoon,DELIVERY,0,0.0,0.0,0.0,0.0
Club Street,Platform A,2.Afternoon,DELIVERY,1,0.0,0.0,0.0,0.0
Club Street,Platform A,2.Afternoon,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform A,2.Afternoon,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform A,3.Evening,DELIVERY,0,0.0,0.0,0.0,0.0
Club Street,Platform A,3.Evening,DELIVERY,1,0.0,0.0,0.0,0.0
Club Street,Platform A,3.Evening,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform A,3.Evening,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform A,4.Late night,DELIVERY,0,0.0,0.0,0.0,0.0
Club Street,Platform A,4.Late night,DELIVERY,1,0.0,0.0,0.0,0.0
Club Street,Platform A,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform A,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform B,1.Morning,DELIVERY,0,0.0,0.0,0.0,0.0
Club Street,Platform B,1.Morning,DELIVERY,1,0.0,0.0,0.0,0.0
Club Street,Platform B,1.Morning,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform B,1.Morning,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform B,2.Afternoon,DELIVERY,0,0.0,0.0,0.0,0.0
Club Street,Platform B,2.Afternoon,DELIVERY,1,0.0,0.0,0.0,0.0
Club Street,Platform B,2.Afternoon,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform B,2.Afternoon,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform B,3.Evening,DELIVERY,0,0.0,0.0,0.0,0.0
Club Street,Platform B,3.Evening,DELIVERY,1,0.0,0.0,0.0,0.0
Club Street,Platform B,3.Evening,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform B,3.Evening,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform B,4.Late night,DELIVERY,0,0.0,0.0,0.0,0.0
Club Street,Platform B,4.Late night,DELIVERY,1,0.0,0.0,0.0,0.0
Club Street,Platform B,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform B,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform C,1.Morning,DELIVERY,0,114.0,9635.199999999999,942.0,36085.43
Club Street,Platform C,1.Morning,DELIVERY,1,50.0,4444.6,394.0,14308.540000000003
Club Street,Platform C,1.Morning,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform C,1.Morning,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform C,2.Afternoon,DELIVERY,0,147.0,13088.800000000001,1452.0,50588.759999999944
Club Street,Platform C,2.Afternoon,DELIVERY,1,57.0,4314.350000000001,523.0,16623.589999999997
Club Street,Platform C,2.Afternoon,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform C,2.Afternoon,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform C,3.Evening,DELIVERY,0,40.0,3248.9500000000003,626.0,21670.379999999997
Club Street,Platform C,3.Evening,DELIVERY,1,20.0,1225.5,264.0,8441.929999999997
Club Street,Platform C,3.Evening,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform C,3.Evening,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Club Street,Platform C,4.Late night,DELIVERY,0,0.0,0.0,2.0,195.6
Club Street,Platform C,4.Late night,DELIVERY,1,0.0,0.0,1.0,107.0
Club Street,Platform C,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Club Street,Platform C,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Pizzeria,Platform A,1.Morning,DELIVERY,0,2.0,75.97,139.0,8993.27
Pizzeria,Platform A,1.Morning,DELIVERY,1,1.0,107.0,118.0,8453.689999999999
Pizzeria,Platform A,1.Morning,TAKE_AWAY,0,0.0,0.0,11.0,592.24
Pizzeria,Platform A,1.Morning,TAKE_AWAY,1,0.0,0.0,3.0,187.25
Pizzeria,Platform A,2.Afternoon,DELIVERY,0,5.0,290.5,626.0,32920.73999999997
Pizzeria,Platform A,2.Afternoon,DELIVERY,1,4.0,171.20000000000002,279.0,15868.179999999998
Pizzeria,Platform A,2.Afternoon,TAKE_AWAY,0,0.0,0.0,12.0,496.42999999999995
Pizzeria,Platform A,2.Afternoon,TAKE_AWAY,1,0.0,0.0,12.0,487.26000000000005
Pizzeria,Platform A,3.Evening,DELIVERY,0,2.0,135.35000000000002,529.0,26555.239999999998
Pizzeria,Platform A,3.Evening,DELIVERY,1,1.0,66.34,275.0,14763.000000000005
Pizzeria,Platform A,3.Evening,TAKE_AWAY,0,0.0,0.0,10.0,465.96
Pizzeria,Platform A,3.Evening,TAKE_AWAY,1,0.0,0.0,8.0,361.66
Pizzeria,Platform A,4.Late night,DELIVERY,0,0.0,0.0,1.0,171.2
Pizzeria,Platform A,4.Late night,DELIVERY,1,0.0,0.0,1.0,58.85
Pizzeria,Platform A,4.Late night,TAKE_AWAY,0,0.0,0.0,0.0,0.0
Pizzeria,Platform A,4.Late night,TAKE_AWAY,1,0.0,0.0,0.0,0.0
Pizzeria,Platform B,1.Morning,DELIVERY,0,4.0,338.11,22.0,1400.08
Pizzeria,Platform B,1.Morning,DELIVERY,1,3.0,197.4,11.0,750.0300000000001
Pizzeria,Platform B,1.Morning,TAKE_AWAY,0,15.0,792.3199999999999,0.0,0.0
Pizzeria,Platform B,1.Morning,TAKE_AWAY,1,9.0,616.85,1.0,235.4
Pizzeria,Platform B,2.Afternoon,DELIVERY,0,22.0,1214.3999999999999,154.0,7678.0099999999975
Pizzeria,Platform B,2.Afternoon,DELIVERY,1,14.0,876.32,88.0,5450.31
Pizzeria,Platform B,2.Afternoon,TAKE_AWAY,0,67.0,3874.979999999999,2.0,95.23
Pizzeria,Platform B,2.Afternoon,TAKE_AWAY,1,34.0,2398.9200000000005,1.0,64.73
Pizzeria,Platform B,3.Evening,DELIVERY,0,26.0,1505.43,107.0,5100.449999999999
Pizzeria,Platform B,3.Evening,DELIVERY,1,10.0,501.81,75.0,4281.330000000002
Pizzeria,Platform B,3.Evening,TAKE_AWAY,0,36.0,2006.7399999999998,2.0,95.23
Pizzeria,Platform B,3.Evening,TAKE_AWAY,1,26.0,1343.33,0.0,0.0
Pizzeria,Platform B,4.Late night,DELIVERY,0,0.0,0.0,0.0,0.0
